year,Africa,Asia,Europe,Middle East,Oceania,W. Hemisphere
1816,0.0,0.0,0.0,2.0,0.0,0.0
1817,0.0,2.0,0.0,1.0,0.0,3.0
1818,0.0,2.0,1.0,1.0,1.0,3.0
1819,1.0,1.0,1.0,0.0,1.0,1.0
1820,2.0,1.0,2.0,1.0,1.0,1.0
1821,2.0,2.0,5.0,2.0,2.0,1.0
1822,1.0,1.0,3.0,1.0,2.0,1.0
1823,1.0,1.0,3.0,0.0,2.0,0.0
1824,2.0,1.0,1.0,1.0,1.0,1.0
1825,2.0,4.0,1.0,0.0,0.0,2.0
1826,2.0,5.0,1.0,2.0,0.0,3.0
1827,1.0,3.0,1.0,1.0,0.0,3.0
1828,1.0,2.0,3.0,2.0,0.0,3.0
1829,1.0,1.0,2.0,1.0,0.0,4.0
1830,1.0,2.0,5.0,1.0,0.0,1.0
1831,0.0,2.0,4.0,2.0,0.0,1.0
1832,0.0,1.0,2.0,3.0,0.0,1.0
1833,0.0,1.0,1.0,1.0,0.0,1.0
1834,0.0,1.0,3.0,2.0,0.0,1.0
1835,0.0,0.0,1.0,1.0,0.0,4.0
1836,1.0,0.0,3.0,1.0,0.0,4.0
1837,1.0,1.0,3.0,2.0,0.0,4.0
1838,2.0,1.0,2.0,1.0,0.0,3.0
1839,0.0,2.0,2.0,2.0,0.0,4.0
1840,0.0,2.0,2.0,3.0,0.0,4.0
1841,0.0,3.0,2.0,1.0,0.0,5.0
1842,0.0,3.0,1.0,2.0,0.0,3.0
1843,0.0,2.0,1.0,2.0,0.0,2.0
1844,0.0,0.0,1.0,2.0,0.0,3.0
1845,0.0,1.0,1.0,2.0,0.0,3.0
1846,1.0,1.0,2.0,1.0,0.0,2.0
1847,1.0,1.0,2.0,1.0,0.0,3.0
1848,0.0,3.0,9.0,0.0,0.0,4.0
1849,0.0,3.0,7.0,0.0,0.0,3.0
1850,1.0,1.0,1.0,0.0,0.0,2.0
1851,1.0,1.0,1.0,1.0,0.0,4.0
1852,2.0,3.0,2.0,0.0,0.0,2.0
1853,1.0,1.0,2.0,0.0,0.0,2.0
1854,2.0,2.0,1.0,0.0,0.0,2.0
1855,1.0,4.0,1.0,0.0,0.0,4.0
1856,3.0,6.0,1.0,2.0,0.0,4.0
1857,2.0,7.0,0.0,1.0,0.0,2.0
1858,2.0,7.0,1.0,0.0,0.0,2.0
1859,1.0,7.0,2.0,1.0,0.0,3.0
1860,2.0,10.0,3.0,2.0,0.0,3.0
1861,2.0,5.0,2.0,0.0,0.0,5.0
1862,2.0,6.0,1.0,0.0,0.0,5.0
1863,1.0,7.0,1.0,0.0,1.0,7.0
1864,1.0,8.0,2.0,0.0,2.0,4.0
1865,1.0,8.0,0.0,0.0,2.0,5.0
1866,1.0,8.0,2.0,0.0,1.0,4.0
1867,1.0,5.0,1.0,0.0,0.0,4.0
1868,2.0,6.0,1.0,0.0,0.0,3.0
1869,1.0,4.0,0.0,1.0,0.0,4.0
1870,1.0,4.0,1.0,2.0,0.0,6.0
1871,1.0,4.0,2.0,2.0,0.0,5.0
1872,1.0,3.0,1.0,2.0,0.0,2.0
1873,1.0,3.0,1.0,0.0,0.0,1.0
1874,1.0,2.0,2.0,0.0,0.0,2.0
1875,1.0,2.0,3.0,0.0,0.0,1.0
1876,1.0,3.0,3.0,0.0,0.0,4.0
1877,1.0,3.0,2.0,1.0,0.0,2.0
1878,1.0,3.0,2.0,2.0,0.0,1.0
1879,1.0,2.0,0.0,1.0,0.0,2.0
1880,2.0,2.0,0.0,0.0,0.0,3.0
1881,2.0,1.0,0.0,2.0,0.0,1.0
1882,0.0,1.0,0.0,3.0,0.0,1.0
1883,2.0,1.0,0.0,2.0,0.0,2.0
1884,2.0,2.0,0.0,2.0,1.0,2.0
1885,3.0,3.0,1.0,1.0,1.0,3.0
1886,2.0,1.0,0.0,0.0,1.0,0.0
1887,2.0,1.0,0.0,0.0,1.0,0.0
1888,3.0,1.0,0.0,0.0,1.0,0.0
1889,2.0,1.0,0.0,0.0,1.0,0.0
1890,2.0,0.0,0.0,1.0,1.0,0.0
1891,1.0,1.0,0.0,1.0,1.0,1.0
1892,2.0,0.0,0.0,1.0,1.0,0.0
1893,5.0,0.0,0.0,1.0,1.0,2.0
1894,4.0,3.0,0.0,1.0,1.0,3.0
1895,4.0,3.0,0.0,1.0,0.0,4.0
1896,2.0,2.0,1.0,2.0,0.0,2.0
1897,1.0,2.0,2.0,1.0,0.0,2.0
1898,1.0,3.0,0.0,1.0,0.0,2.0
1899,2.0,1.0,0.0,1.0,0.0,3.0
1900,3.0,3.0,0.0,0.0,0.0,2.0
1901,2.0,1.0,0.0,0.0,0.0,2.0
1902,4.0,1.0,0.0,0.0,0.0,2.0
1903,4.0,0.0,1.0,0.0,0.0,1.0
1904,3.0,3.0,0.0,1.0,0.0,1.0
1905,2.0,2.0,1.0,1.0,0.0,0.0
1906,4.0,1.0,1.0,1.0,0.0,1.0
1907,2.0,2.0,1.0,1.0,0.0,1.0
1908,2.0,1.0,0.0,2.0,0.0,0.0
1909,3.0,1.0,0.0,3.0,0.0,0.0
1910,3.0,1.0,1.0,2.0,0.0,1.0
1911,1.0,1.0,1.0,2.0,0.0,2.0
1912,0.0,1.0,2.0,3.0,0.0,4.0
1913,0.0,3.0,2.0,2.0,0.0,2.0
1914,1.0,2.0,1.0,2.0,0.0,3.0
1915,1.0,1.0,1.0,2.0,0.0,1.0
1916,1.0,2.0,2.0,1.0,0.0,1.0
1917,1.0,2.0,3.0,1.0,0.0,1.0
1918,1.0,3.0,6.0,1.0,0.0,2.0
1919,0.0,2.0,9.0,3.0,0.0,2.0
1920,0.0,3.0,9.0,5.0,0.0,2.0
1921,0.0,2.0,6.0,4.0,0.0,0.0
1922,0.0,2.0,3.0,2.0,0.0,0.0
1923,0.0,0.0,2.0,2.0,0.0,1.0
1924,0.0,1.0,0.0,3.0,0.0,2.0
1925,0.0,2.0,0.0,4.0,0.0,0.0
1926,0.0,2.0,0.0,3.0,0.0,1.0
1927,0.0,1.0,0.0,2.0,0.0,1.0
1928,0.0,3.0,0.0,2.0,0.0,1.0
1929,0.0,4.0,0.0,3.0,0.0,2.0
1930,0.0,5.0,0.0,3.0,0.0,0.0
1931,0.0,5.0,0.0,1.0,0.0,0.0
1932,0.0,4.0,0.0,0.0,0.0,4.0
1933,0.0,3.0,0.0,0.0,0.0,1.0
1934,0.0,3.0,1.0,1.0,0.0,1.0
1935,1.0,1.0,0.0,0.0,0.0,1.0
1936,1.0,2.0,1.0,1.0,0.0,0.0
1937,0.0,2.0,1.0,1.0,0.0,0.0
1938,0.0,3.0,1.0,1.0,0.0,0.0
1939,1.0,3.0,3.0,2.0,1.0,0.0
1940,1.0,3.0,2.0,1.0,1.0,0.0
1941,1.0,3.0,1.0,1.0,1.0,0.0
1942,1.0,1.0,1.0,1.0,1.0,0.0
1943,1.0,1.0,1.0,1.0,1.0,0.0
1944,1.0,1.0,2.0,1.0,1.0,0.0
1945,1.0,2.0,5.0,1.0,1.0,0.0
1946,0.0,4.0,4.0,0.0,0.0,0.0
1947,1.0,6.0,4.0,1.0,0.0,1.0
1948,1.0,8.0,2.0,3.0,0.0,2.0
1949,0.0,6.0,2.0,1.0,0.0,1.0
1950,0.0,8.0,1.0,0.0,0.0,1.0
1951,0.0,5.0,1.0,0.0,0.0,1.0
1952,1.0,4.0,0.0,1.0,0.0,2.0
1953,1.0,5.0,0.0,2.0,0.0,1.0
1954,1.0,4.0,0.0,3.0,0.0,1.0
1955,1.0,2.0,0.0,2.0,0.0,2.0
1956,1.0,3.0,1.0,3.0,0.0,1.0
1957,1.0,3.0,0.0,2.0,0.0,1.0
1958,1.0,4.0,0.0,3.0,0.0,2.0
1959,1.0,3.0,0.0,2.0,0.0,1.0
1960,2.0,4.0,0.0,1.0,0.0,0.0
1961,3.0,3.0,0.0,2.0,0.0,0.0
1962,3.0,4.0,0.0,4.0,0.0,0.0
1963,5.0,2.0,0.0,4.0,0.0,0.0
1964,7.0,2.0,0.0,2.0,0.0,0.0
1965,4.0,5.0,0.0,3.0,0.0,1.0
1966,4.0,3.0,0.0,3.0,0.0,1.0
1967,4.0,6.0,0.0,3.0,0.0,1.0
1968,4.0,6.0,0.0,3.0,0.0,1.0
1969,4.0,4.0,0.0,5.0,0.0,1.0
1970,4.0,5.0,0.0,5.0,0.0,1.0
1971,3.0,9.0,0.0,2.0,0.0,1.0
1972,5.0,7.0,0.0,1.0,0.0,0.0
1973,4.0,8.0,0.0,2.0,0.0,1.0
1974,5.0,6.0,1.0,2.0,0.0,0.0
1975,6.0,8.0,0.0,4.0,0.0,1.0
1976,6.0,8.0,0.0,2.0,0.0,1.0
1977,6.0,8.0,0.0,1.0,0.0,1.0
1978,8.0,9.0,0.0,3.0,0.0,2.0
1979,6.0,9.0,0.0,3.0,0.0,3.0
1980,7.0,6.0,0.0,3.0,0.0,2.0
1981,6.0,4.0,0.0,4.0,0.0,2.0
1982,6.0,3.0,0.0,5.0,0.0,5.0
1983,7.0,5.0,0.0,5.0,0.0,4.0
1984,7.0,6.0,0.0,5.0,0.0,4.0
1985,6.0,5.0,0.0,4.0,0.0,3.0
1986,8.0,5.0,0.0,6.0,0.0,3.0
1987,8.0,7.0,0.0,4.0,0.0,3.0
1988,6.0,7.0,0.0,3.0,0.0,3.0
1989,7.0,9.0,1.0,2.0,0.0,4.0
1990,7.0,7.0,0.0,3.0,0.0,4.0
1991,9.0,7.0,4.0,5.0,0.0,3.0
1992,8.0,6.0,6.0,4.0,0.0,3.0
1993,6.0,5.0,4.0,3.0,0.0,1.0
1994,7.0,5.0,4.0,5.0,0.0,1.0
1995,4.0,5.0,3.0,4.0,0.0,2.0
1996,5.0,5.0,1.0,4.0,0.0,1.0
1997,5.0,5.0,0.0,4.0,0.0,1.0
1998,9.0,3.0,1.0,3.0,0.0,1.0
1999,10.0,6.0,3.0,3.0,0.0,1.0
2000,8.0,6.0,1.0,2.0,0.0,1.0
2001,6.0,8.0,1.0,2.0,0.0,1.0
2002,7.0,5.0,1.0,2.0,0.0,1.0
2003,5.0,6.0,1.0,5.0,0.0,1.0
2004,3.0,4.0,0.0,4.0,0.0,1.0
2005,2.0,5.0,0.0,4.0,0.0,1.0
2006,2.0,5.0,0.0,2.0,0.0,1.0
2007,1.0,2.0,0.0,2.0,0.0,1.0
