,srcs,tgts,vals
0,0,6,30
1,0,7,5
2,0,8,65
3,1,6,24
4,1,7,34
5,1,8,55
6,1,9,5
7,2,6,16
8,2,7,14
9,2,8,78
10,2,9,15
11,3,6,29
12,3,7,59
13,3,8,79
14,3,9,19
15,4,6,8
16,4,7,50
17,4,8,57
18,4,9,19
19,5,6,1
20,5,7,1
21,5,9,4
22,6,29,1
23,7,29,6
24,8,29,5
25,6,20,3
26,7,20,3
27,8,20,10
28,9,20,2
29,6,27,6
30,7,27,2
31,8,27,5
32,6,31,3
33,7,31,1
34,8,31,7
35,6,13,14
36,7,13,7
37,8,13,24
38,9,13,5
39,6,34,2
40,8,34,8
41,6,36,2
42,7,36,2
43,8,36,6
44,6,21,7
45,7,21,4
46,8,21,6
47,6,38,5
48,8,38,2
49,9,38,2
50,6,18,5
51,7,18,4
52,8,18,8
53,9,18,3
54,6,11,18
55,7,11,35
56,8,11,13
57,6,24,8
58,7,24,4
59,8,24,2
60,6,33,5
61,7,33,1
62,8,33,4
63,7,32,2
64,8,32,9
65,6,23,5
66,7,23,2
67,8,23,8
68,6,17,12
69,7,17,5
70,8,17,3
71,6,22,9
72,7,22,2
73,8,22,5
74,6,19,2
75,7,19,1
76,8,19,14
77,9,19,1
78,6,25,3
79,7,25,10
80,8,25,1
81,6,28,3
82,7,28,1
83,8,28,6
84,9,28,2
85,6,37,2
86,7,37,2
87,8,37,6
88,6,30,1
89,7,30,7
90,8,30,3
91,6,12,16
92,7,12,9
93,8,12,26
94,6,16,6
95,7,16,14
96,8,16,8
97,6,35,5
98,8,35,5
99,6,14,13
100,7,14,10
101,8,14,24
102,6,10,13
103,7,10,59
104,8,10,9
105,6,15,13
106,7,15,6
107,8,15,14
108,6,26,6
109,7,26,3
110,8,26,3
111,9,26,1
112,6,39,6
113,7,39,1
114,8,39,2
