,srcs,tgts,vals
0,0,3,21
1,0,4,46
2,0,5,112
3,0,6,29
4,1,4,13
5,1,5,89
6,1,6,37
7,2,4,3
8,2,5,1
9,3,7,1
10,3,8,2
11,3,9,6
12,3,10,11
13,3,11,1
14,4,7,13
15,4,8,12
16,4,9,18
17,4,10,11
18,4,11,8
19,5,7,31
20,5,8,25
21,5,9,58
22,5,10,69
23,5,11,19
24,6,7,9
25,6,8,10
26,6,9,11
27,6,10,34
28,6,11,2
29,9,12,12
30,10,13,12
31,9,14,11
32,7,15,11
33,10,16,6
34,10,17,6
35,8,18,6
36,10,19,6
37,9,20,6
38,8,21,6
39,9,22,6
40,7,23,5
41,10,24,5
42,9,25,5
43,8,26,4
44,7,27,4
45,7,28,4
46,8,29,4
47,7,30,4
48,8,31,3
49,11,32,2
50,11,33,2
51,11,34,1
52,11,35,1
53,11,36,1
