,location,conflict_id
0,Afghanistan,3
1,"Afghanistan, Russia (Soviet Union)",2
2,"Afghanistan, United Kingdom, United States of America",3
3,"Albania, United Kingdom",1
4,Algeria,4
5,"Algeria, Morocco",1
6,Angola,4
7,Argentina,1
8,"Argentina, United Kingdom",2
9,"Australia, Iraq, United Kingdom, United States of America",4
10,Azerbaijan,3
11,Bangladesh,3
12,Bolivia,1
13,Bosnia-Herzegovina,5
14,Brunei,1
15,Burkina Faso,2
16,"Burkina Faso, Mali",1
17,Burundi,1
18,Cambodia (Kampuchea),3
19,"Cambodia (Kampuchea), Thailand",1
20,"Cambodia (Kampuchea), Vietnam (North Vietnam)",1
21,Cameroon,6
22,"Cameroon, Nigeria",1
23,Central African Republic,2
24,Chad,3
25,"Chad, Libya",1
26,"Chad, Nigeria",1
27,Chile,1
28,China,4
29,"China, India",1
30,"China, Myanmar (Burma)",1
31,"China, Russia (Soviet Union)",2
32,"China, Taiwan",1
33,"China, Vietnam (North Vietnam)",1
34,Colombia,1
35,Comoros,2
36,Congo,2
37,Costa Rica,1
38,Croatia,2
39,Cuba,2
40,Cyprus,1
41,"Cyprus, Turkey",2
42,DR Congo (Zaire),5
43,Djibouti,1
44,"Djibouti, Eritrea",1
45,Dominican Republic,1
46,"Ecuador, Peru",1
47,Egypt,2
48,"Egypt, France, Israel, United Kingdom",2
49,"Egypt, Iraq, Israel, Jordan, Lebanon, Syria",1
50,"Egypt, Israel",1
51,"Egypt, United Kingdom",2
52,El Salvador,1
53,"El Salvador, Honduras",1
54,Eritrea,1
55,"Eritrea, Ethiopia",1
56,Ethiopia,12
57,"Ethiopia, Somalia",1
58,France,1
59,"France, Thailand",2
60,"France, Tunisia",2
61,Gabon,1
62,Gambia,1
63,Georgia,4
64,Ghana,1
65,Greece,1
66,"Grenada, United States of America",1
67,Guatemala,1
68,Guinea,1
69,Guinea-Bissau,2
70,Haiti,1
71,"Honduras, Nicaragua",1
72,"Hungary, Russia (Soviet Union)",1
73,Hyderabad,1
74,"Hyderabad, India",1
75,India,12
76,"India, Pakistan",1
77,Indonesia,6
78,"Indonesia, Malaysia",1
79,"Indonesia, Netherlands",2
80,Iran,6
81,"Iran, Iraq",1
82,"Iran, Israel",1
83,Iraq,3
84,"Iraq, Kuwait",1
85,Israel,4
86,"Israel, Jordan",1
87,"Israel, Syria",1
88,Ivory Coast,1
89,Jordan,1
90,Kenya,3
91,Laos,3
92,"Laos, Thailand",1
93,Lebanon,3
94,Lesotho,1
95,Liberia,1
96,Libya,3
97,"Macedonia, FYR",1
98,Madagascar (Malagasy),2
99,Malaysia,6
100,Mali,6
101,Mauritania,3
102,"Mauritania, Morocco",2
103,Mexico,1
104,Moldova,1
105,Morocco,4
106,Mozambique,3
107,Myanmar (Burma),11
108,Nepal,1
109,Nicaragua,1
110,Niger,4
111,Nigeria,6
112,"North Korea, South Korea",1
113,Oman,2
114,Pakistan,5
115,Panama,1
116,"Panama, United States of America",1
117,Papua New Guinea,1
118,Paraguay,1
119,Peru,1
120,Philippines,4
121,Rumania,1
122,Russia (Soviet Union),11
123,Rwanda,2
124,Saudi Arabia,1
125,Senegal,1
126,Serbia (Yugoslavia),4
127,Sierra Leone,2
128,Somalia,3
129,South Africa,2
130,South Sudan,2
131,"South Sudan, Sudan",1
132,South Vietnam,2
133,"South Vietnam, Vietnam (North Vietnam)",1
134,South Yemen,2
135,"South Yemen, Yemen (North Yemen)",1
136,Spain,1
137,Sri Lanka,2
138,Sudan,4
139,Suriname,1
140,Syria,6
141,Tajikistan,2
142,"Tanzania, Uganda",1
143,Thailand,2
144,Togo,1
145,Trinidad and Tobago,1
146,Tunisia,3
147,Turkey,3
148,Uganda,2
149,Ukraine,4
150,United Kingdom,1
151,United States of America,2
152,Uruguay,1
153,Uzbekistan,2
154,Venezuela,1
155,Vietnam (North Vietnam),1
156,Yemen (North Yemen),4
157,Zimbabwe (Rhodesia),2
