year,Extra-State War ,Inter-State War ,Intra-State War ,Non-State War 
1816,2.0,0.0,0.0,0.0
1817,6.0,0.0,0.0,0.0
1818,6.0,0.0,1.0,1.0
1819,1.0,0.0,1.0,3.0
1820,1.0,0.0,3.0,4.0
1821,3.0,0.0,6.0,5.0
1822,2.0,0.0,3.0,4.0
1823,1.0,1.0,2.0,3.0
1824,3.0,0.0,2.0,2.0
1825,5.0,0.0,1.0,3.0
1826,6.0,0.0,2.0,5.0
1827,3.0,0.0,1.0,5.0
1828,3.0,1.0,2.0,4.0
1829,2.0,1.0,1.0,4.0
1830,2.0,0.0,5.0,3.0
1831,0.0,0.0,6.0,3.0
1832,1.0,0.0,5.0,1.0
1833,1.0,0.0,1.0,2.0
1834,1.0,0.0,4.0,2.0
1835,1.0,0.0,4.0,1.0
1836,1.0,0.0,6.0,2.0
1837,1.0,0.0,7.0,3.0
1838,1.0,0.0,5.0,3.0
1839,3.0,0.0,4.0,3.0
1840,3.0,0.0,6.0,2.0
1841,4.0,0.0,6.0,1.0
1842,3.0,0.0,5.0,1.0
1843,4.0,0.0,3.0,0.0
1844,3.0,0.0,2.0,1.0
1845,3.0,0.0,3.0,1.0
1846,5.0,1.0,1.0,0.0
1847,3.0,1.0,3.0,1.0
1848,3.0,2.0,10.0,1.0
1849,4.0,3.0,6.0,0.0
1850,2.0,0.0,2.0,1.0
1851,3.0,1.0,3.0,1.0
1852,2.0,1.0,3.0,3.0
1853,0.0,1.0,3.0,2.0
1854,1.0,1.0,2.0,3.0
1855,2.0,1.0,3.0,4.0
1856,5.0,2.0,2.0,7.0
1857,4.0,1.0,1.0,6.0
1858,3.0,0.0,3.0,6.0
1859,5.0,2.0,3.0,4.0
1860,4.0,3.0,8.0,5.0
1861,1.0,1.0,10.0,2.0
1862,1.0,1.0,10.0,2.0
1863,4.0,2.0,9.0,2.0
1864,4.0,3.0,8.0,2.0
1865,4.0,3.0,7.0,2.0
1866,2.0,4.0,9.0,1.0
