index,year,Africa,Americas,Asia,Europe,Middle East
0,1946,0.0,1.0,3.0,3.0,0.0
1,1947,1.0,1.0,5.0,3.0,0.0
2,1948,0.0,1.0,8.0,2.0,2.0
3,1949,0.0,0.0,7.0,1.0,0.0
4,1950,0.0,0.0,8.0,0.0,0.0
5,1951,0.0,0.0,6.0,0.0,0.0
6,1952,0.0,0.0,5.0,0.0,0.0
7,1953,1.0,0.0,6.0,0.0,0.0
8,1954,1.0,0.0,3.0,0.0,0.0
9,1955,2.0,0.0,2.0,0.0,0.0
10,1956,2.0,0.0,2.0,2.0,1.0
11,1957,1.0,0.0,1.0,0.0,0.0
12,1958,1.0,1.0,3.0,0.0,1.0
13,1959,1.0,0.0,4.0,0.0,0.0
14,1960,2.0,0.0,2.0,0.0,0.0
15,1961,3.0,0.0,4.0,2.0,1.0
16,1962,1.0,0.0,3.0,1.0,2.0
17,1963,1.0,0.0,3.0,0.0,3.0
18,1964,2.0,0.0,4.0,0.0,1.0
19,1965,2.0,0.0,5.0,0.0,1.0
20,1966,1.0,0.0,4.0,0.0,2.0
21,1967,2.0,0.0,5.0,0.0,4.0
22,1968,2.0,0.0,5.0,0.0,0.0
23,1969,2.0,1.0,5.0,0.0,1.0
24,1970,2.0,0.0,6.0,0.0,0.0
25,1971,1.0,0.0,9.0,0.0,0.0
26,1972,2.0,0.0,4.0,0.0,0.0
27,1973,1.0,0.0,4.0,0.0,2.0
28,1974,0.0,0.0,4.0,1.0,2.0
29,1975,2.0,0.0,4.0,0.0,1.0
30,1976,4.0,0.0,3.0,0.0,1.0
31,1977,5.0,0.0,3.0,0.0,0.0
32,1978,7.0,1.0,6.0,0.0,0.0
33,1979,5.0,1.0,3.0,0.0,1.0
34,1980,5.0,0.0,2.0,0.0,2.0
35,1981,6.0,1.0,3.0,0.0,2.0
36,1982,6.0,1.0,3.0,0.0,5.0
37,1983,7.0,3.0,3.0,0.0,1.0
38,1984,6.0,3.0,4.0,0.0,2.0
39,1985,6.0,4.0,2.0,0.0,1.0
40,1986,5.0,2.0,3.0,0.0,2.0
41,1987,9.0,2.0,3.0,0.0,1.0
42,1988,8.0,3.0,3.0,0.0,2.0
43,1989,6.0,2.0,2.0,0.0,0.0
44,1990,8.0,1.0,4.0,0.0,1.0
45,1991,5.0,1.0,4.0,1.0,2.0
46,1992,3.0,2.0,5.0,2.0,1.0
47,1993,1.0,0.0,3.0,4.0,1.0
48,1994,3.0,1.0,1.0,2.0,2.0
49,1995,3.0,0.0,2.0,2.0,1.0
50,1996,4.0,1.0,3.0,1.0,1.0
51,1997,4.0,0.0,2.0,0.0,1.0
52,1998,8.0,0.0,2.0,1.0,1.0
53,1999,6.0,1.0,2.0,2.0,1.0
54,2000,6.0,1.0,4.0,1.0,0.0
55,2001,4.0,3.0,3.0,1.0,0.0
56,2002,3.0,1.0,2.0,1.0,0.0
57,2003,2.0,1.0,3.0,1.0,1.0
58,2004,2.0,1.0,2.0,1.0,1.0
59,2005,0.0,1.0,3.0,0.0,1.0
60,2006,2.0,0.0,2.0,0.0,1.0
61,2007,1.0,0.0,2.0,0.0,1.0
62,2008,1.0,0.0,3.0,0.0,1.0
63,2009,2.0,0.0,3.0,0.0,1.0
64,2010,2.0,0.0,2.0,0.0,1.0
65,2011,3.0,0.0,2.0,0.0,2.0
66,2012,2.0,0.0,2.0,0.0,2.0
67,2013,2.0,0.0,2.0,0.0,2.0
68,2014,3.0,0.0,2.0,2.0,5.0
69,2015,4.0,0.0,2.0,1.0,4.0
70,2016,4.0,0.0,2.0,0.0,6.0
71,2017,3.0,0.0,3.0,0.0,4.0
72,2018,1.0,0.0,2.0,0.0,3.0
